program_scope,tier,award_identity_key,usaspending_award_id,awarded_on,recipient,title,reason_codes,signals,canonical_recipient_match,story_linked,live_recipient_name,live_parent_recipient_name,existing_final_tier,existing_review_status
"spacex","excluded","award:000074733523430","000074733523430","2023-03-23","RED DRAGONFLY LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:7391457902","7391457902","2022-11-21","STARSHIP COMPUTER SERVICES, INC.","TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:7768608210","7768608210","2022-11-08","STARSHIPPROPERTIES","TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:1202sb22t7836","1202SB22T7836","2022-06-03","DRAGON ASSASSINS LLC","VIPR I-BPA FOR WATER HANDLING FOR THE WEST ZONE (REGIONS 3, 5, 6, & 10)","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:1202sb22t7752","1202SB22T7752","2022-06-02","DRAGON WILDFIRE LLC","VIPR I-BPA FOR WATER HANDLING FOR THE WEST ZONE (REGIONS 3, 5, 6, & 10)","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:1202sb22t7254","1202SB22T7254","2022-05-31","DRAGON FIGHTERS, INC.","VIPR I-BPA FOR WATER HANDLING FOR THE EAST ZONE (REGIONS 1, 2, 4, 8, & 9)","no_company_support_signal","","false","false","","","","unreviewed"
"blue-origin","excluded","award:0000744310225kz","0000744310225KZ","2022-04-26","BLUE MOON RISING LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"blue-origin","excluded","award:0000742b292207t","0000742B292207T","2022-04-15","BLUE MOON ACRES","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:eidlgt:3316019835","EIDLGT:3316019835","2021-11-22","DRAGON JESTER PRODUCTIONS LLC","AWARDTYPE: DIRECT PAYMENT FOR SPECIFIED USE ACTIVITIES TO BE PERFORMED: CONTINUE BUSINESS DELIVERABLES: ECONOMIC RELIEF TO SMALL BUSINESSES IMPACTED BY COVID-19. EXPECTED OUTCOMES: PROVIDE ECONOMIC RELIEF TO BUSINESSES THAT ARE CURRENTLY EXPERIENCING A TEMPORARY LOSS OF REVENUE. INTENDED BENEFICIARIES: SMALL BUSINESSES SUBRECIPIENT ACTIVITIES: NA","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:0000744209210pm","0000744209210PM","2021-06-24","AGRIZUR DRAGON FRUIT CORP","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:06x075035l24e","06X075035L24E","2021-06-11","DEPARTMENT OF TRANSPORTATION CALIFORNIA","PROJECT TITLE: SAN FRANCISCO AT 0.2 MILE SOUTH OF STATE ROUTE 1/101 SEPARATION, DRAGONFLY CREEK RESTORATION (TC) :::: PROJECT DESCRIPTION: SAN FRANCISCO AT 0.2 MILE SOUTH OF STATE ROUTE 1/101 SEPARATION, DRAGONFLY CREEK RESTORATION (TC)","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:fa461321a0004","FA461321A0004","2021-02-18","ASTRIDE A STARSHIP, LLC","CONTRACTOR SHALL PROVIDE SERVICES ACCORDING TO THE APPROVED PRICE LISTS AGREED UPON IN THIS BPA.","no_company_support_signal","service_context|support_context","false","false","","","","unreviewed"
"spacex","excluded","award:0000748d43201lm","0000748D43201LM","2020-08-11","BLACK DRAGON RANCH LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:6791748003","6791748003","2020-07-24","STARLINK TRANSPORTATION SERVICE INC","TO AID SMALL BUSINESSES IN MAINTAINING WORK FORCE DURING COVID-19 PANDEMIC.","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:eidlgt:3308896995","EIDLGT:3308896995","2020-07-07","DRAGONFLY DEALS INC","ECONOMIC INJURY DISASTER GRANT","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:eidlgt:3307823158","EIDLGT:3307823158","2020-07-01","KAME HOUSE DRAGON BALL COLLECTION","ECONOMIC INJURY DISASTER GRANT","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:12034320t7015","12034320T7015","2020-05-12","DRAGONHEAD LLC","VIPR I-BPA FOR SINGLE FALLER AND FALLER MODULES, REGION 1 - NORTHERN REGION","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:12034320m7015","12034320M7015","2020-05-12","DRAGONHEAD LLC","VIPR I-BPA FOR SINGLE FALLER AND FALLER MODULES, REGION 1 - NORTHERN REGION (IAS RECONSTRUCT DUE TO NOVATION OF 12034320T7015)","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:fa461320a0008","FA461320A0008","2020-05-01","ASTRIDE A STARSHIP, LLC","COVID-19 THE CONTRACTOR SHALL PROVIDE LODGING SUPPORT. CONTRACTOR SHALL ONLY ACCEPT ROOM REQUEST BY PERSONNEL IDENTIFIED ON THE AUTHORIZED CALLER LIST PROVIDED BY THE CONTRACTING OFFICER. SEE APPROVED PRICE LIST SIGNED BY THE CONTRACTING OFFICER.","no_company_support_signal","support_context","false","false","","","","unreviewed"
"spacex","excluded","award:eidlgt:3600484507","EIDLGT:3600484507","2020-04-24","HAPPY DRAGON RESTAURANT","ECONOMIC INJURY DISASTER GRANT","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:eidlgt:3301452090","EIDLGT:3301452090","2020-04-24","JD DRAGON LLC","ECONOMIC INJURY DISASTER GRANT","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:7971055000","7971055000","2019-11-04","STARLINK LOGISTICS INC","TO AID SMALL BUSINESSES WHICH ARE UNABLE TO OBTAIN FINANCING IN THE PRIVATE CREDIT MARKETPLACE","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:693jj21930000z233ma003s065","693JJ21930000Z233MA003S065","2019-09-25","MASSACHUSETTS DEPARTMENT OF TRANSPORTATION","PROJECT TITLE: SHELBURNE- BRIDGE REPLACEMENT, S-11-006, BARDWELL FERRY ROAD OVER DRAGON BROOK :::: PROJECT DESCRIPTION: STP(BR-OFF)-003S(065)X - SHELBURNE-BRIDGE REPLACEMENT, S-11-006, BARDWELL FERRY ROAD OVER DRAGON BROOK","no_company_support_signal","dragon","false","false","","","","unreviewed"
"spacex","excluded","award:0000749251190b6","0000749251190B6","2019-09-06","MAUI DRAGON FRUIT FARM LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:0000744209190i8","0000744209190I8","2019-08-27","DRAGON FRUIT NATURE FARMS LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:0000744209190nd","0000744209190ND","2019-08-27","DRAGON FRUIT NATURE FARMS LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:00007433a7190in","00007433A7190IN","2019-04-30","DRAGONFLY FARM LLC","ENVIRON QUALITY INITIATIVE 2018","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:540250245m0e1","540250245M0E1","2018-11-01","WVDOT DIVISION OF HIGHWAYS","DRAGON HIGHWAY RESURFACING","no_company_support_signal","dragon","false","false","","","","unreviewed"
"spacex","excluded","award:00007433a71802n","00007433A71802N","2018-03-21","DRAGONFLY FARMS LLC","ENVIRON QUALITY INITIATIVE PGM","disallowed_award_family","","false","false","","","","unreviewed"
"blue-origin","excluded","award:0000745f48180ub","0000745F48180UB","2018-02-09","BLUE MOON COMMUNITY FARM LLC","ENVIRON QUALITY INITIATIVE PGM","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:510596019l2401","510596019L2401","2016-10-28","VA DEPARTMENT OF TRANSPORTATION","MIDDLESEX COUNTY _ BRIDGE REHABILITATION ROUTE 17 SOUTHBOUND DRAGON RUN ID 12086","no_company_support_signal","dragon","false","false","","","","unreviewed"
"spacex","excluded","award:20163842425554","20163842425554","2016-09-01","FOND DU LAC TRIBAL AND COMMUNITY COLLEGE","NEW DISCOVERY: ATMOSPHERIC MERCURY LOADING IN THE ST. LOUIS RIVER WATERSHED AND POTENTIAL CORRELATION WITH DRAGONFLY BIOACCUMULATION","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:0000745e34161n5","0000745E34161N5","2016-05-12","DRAGONFLY FARM LLC","ENVIRON QUALITY INITIATIVE PGM","disallowed_award_family","","false","false","","","","unreviewed"
"blue-origin","excluded","award:000074164415087","000074164415087","2015-09-24","BLUE MOON","ENVIRON QUALITY INITIATIVE PGM","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:0000745e34152hc","0000745E34152HC","2015-07-15","DRAGONFLY FARM LLC","ENVIRON QUALITY INITIATIVE PGM","disallowed_award_family","","false","false","","","","unreviewed"
